UNIT_CODE,UNIT_NAME,STATE,REGION,DEM_Name,LC_Name,UNIT_TYPE,PARKNAME,Lat,Long
STRI,Stones River National Battlefield,TN,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield,Stones River,35.876254,-86.430798
CUIS,Cumberland Island National Seashore,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Seashore,Cumberland Island,30.857178,-81.451765
EVER,Everglades National Park,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Park,Everglades,25.375058,-80.881472
BICY,Big Cypress National Preserve,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Preserve,Big Cypress,25.970801,-81.081415
VIIS,Virgin Islands National Park,VI,SER,PR_VI_DEM.TIF,,National Park,Virgin Islands,18.342566,-64.74524
CALO,Cape Lookout National Seashore,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Seashore,Cape Lookout,34.823052,-76.3467
POPO,Poverty Point National Monument,LA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Poverty Point,32.642098,-91.407926
TIMU,Timucuan Ecological and Historic Preserve,FL,SER,SER_DEM.TIF,SER_LC_2016.TIF,Ecological and Historic Preserve,Timucuan,30.56599,-81.499738
SAJU,San Juan National Historic Site,PR,SER,PR_VI_DEM.TIF,PR_LC_2001.TIF,National Historic Site,San Juan,18.467477,-66.118206
CHCH,Chickamauga and Chattanooga National Military Park,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Military Park,Chickamauga and Chattanooga,34.919011,-85.299177
GRSM,Great Smoky Mountains National Park,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Park,Great Smoky Mountains,35.60196,-83.507158
CAHA,Cape Hatteras National Seashore,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Seashore,Cape Hatteras,35.239394,-75.618223
BISO,Big South Fork National River and Recreation Area,TN,SER,SER_DEM.TIF,SER_LC_2016.TIF,National River and Recreation Area,Big South Fork,36.534655,-84.66524
VICK,Vicksburg National Military Park,LA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Military Park,Vicksburg,32.365311,-90.764182
CHPI,Charles Pinckney National Historic Site,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Charles Pinckney,32.845741,-79.82495
REER,Reconstruction Era National Monument,SC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Reconstruction Era,32.385048,-80.634873
CHAT,Chattahoochee River National Recreation Area,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Recreation Area,Chattahoochee River,33.973843,-84.25697
CUGA,Cumberland Gap National Historical Park,KY,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historical Park,Cumberland Gap,36.62643,-83.60707
FORA,Fort Raleigh National Historic Site,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Fort Raleigh,35.932411,-75.716462
NATC,Natchez National Historical Park,MS,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historical Park,Natchez,31.543005,-91.392477
MEMY,Medgar and Myrlie Evers Home National Monument,MS,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Medgar and Myrlie Evers Home,32.340867,-90.213588
CANE,Camp Nelson National Monument,KY,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Camp Nelson,37.792845,-84.595435
FRRI,Freedom Riders National Monument,AL,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Freedom Riders,33.634958,-85.905837
OBRI,Obed Wild and Scenic River,TN,SER,SER_DEM.TIF,SER_LC_2016.TIF,Wild and Scenic River,Obed,36.092445,-84.772112
MISP,Mill Springs Battlefield National Monument,KY,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Mill Springs Battlefield,37.056896,-84.753852
KEMO,Kennesaw Mountain National Battlefield Park,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield Park,Kennesaw Mountain,33.953812,-84.592412
GUCO,Guilford Courthouse National Military Park,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Military Park,Guilford Courthouse,36.132212,-79.842529
SHIL,Shiloh National Battlefield,MS,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Battlefield,Shiloh,35.136597,-88.423166
OCMU,Ocmulgee National Monument,GA,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Monument,Ocmulgee,32.823683,-83.59017
CARL,Carl Sandburg Home National Historic Site,NC,SER,SER_DEM.TIF,SER_LC_2016.TIF,National Historic Site,Carl Sandburg Home,35.268046,-82.451153
